User;Category (cor);Category (p-value);Subcategory (cor);Subcategory (p-value);Sentiment (cor);Sentiment (p-value)
U32982;0.647;0.043;0.404;0.049;0.998;0.029
U73479;0.746;0.021;0.336;0.187;0.866;0.333
U22148;-0.090;0.830;-0.001;0.999;0.628;0.567
U31366;0.731;0.0393;0.684;0.009;0.755;0.454
U39842;0.404;0.152;0.816;0.001;0.992;0.080
U25752;-0.311;0.323;-0.345;0.061;0.861;0.338
U71024;0.494;0.102;0.145;0.478;0.755;0.454
U41501;-0.359;0.307;0.024;0.917;0.590;0.598
U62086;0.989;0.0003;0.476;0.118;0.826;0.381
U33947;-0.171;0.745;-0.745;0.008;0.944;0.212
U30875;0.001;0.999;-0.175;0.651;-0.999;0001
U70480;-0.296;0.376;0.613;0.033;1.0;1.0
U27354;0.299;0.434;-0.477;0.061;0.957;0.186
U77998;0.685;0.089;0.520;0.231;0.917;0.260
U65373;0.981;0.0006;0.524;0.147;0.866;0.333
